EVE,YEAR,DATE,FLIGHT,FLIGHT_C,V_LENGTH,TIMELINE,BOAT_CODE,WS_CODE,BOAT_LENGTH,BOAT_DIST,BOAT_DROP,DROP_POSITION,BOAT_VIOLATE,BOAT_VIOLATE_DROP
22_E102,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P1,451,210,14AUG22_F02_P1_0210_B03,14AUG22_F02_P1_0210_S03,8.891,1.12,N/A,N/A,violate min dis,no violate drop off
22_E103,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P1,451,246,14AUG22_F02_P1_0246_B01,14AUG22_F02_P1_0246_S01,10.23,4.561,N/A,N/A,violate min dis,no violate drop off
22_E103,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P1,451,246,14AUG22_F02_P1_0246_B02,14AUG22_F02_P1_0246_S03,9.913,6.034,N/A,N/A,violate min dis,no violate drop off
22_E104,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P1,451,320,14AUG22_F02_P1_0320_B01,14AUG22_F02_P1_0320_S01,10.93,2.605,N/A,N/A,violate min dis,no violate drop off
22_E104,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P1,451,320,14AUG22_F02_P1_0320_B02,14AUG22_F02_P1_0320_S02,10.132,1.725,N/A,N/A,violate min dis,no violate drop off
22_E105,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P1,451,414,14AUG22_F02_P1_0414_B01,14AUG22_F02_P1_0414_S01,11.02,0,N/A,N/A,violate min dis,no violate drop off
22_E106,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P2,451,20,14AUG22_F02_P2_0020_B01,14AUG22_F02_P2_0020_S01,9.441,5.524,5.524,head,violate min dis,violate drop off
22_E106,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P2,451,20,14AUG22_F02_P2_0020_B02,14AUG22_F02_P2_0020_S02,9.901,8.56,N/A,N/A,violate min dis,no violate drop off
22_E107,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P2,451,102,14AUG22_F02_P2_0102_B01,14AUG22_F02_P2_0102_S02,10.687,2.839,N/A,N/A,violate min dis,no violate drop off
22_E107,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P2,451,102,14AUG22_F02_P2_0102_B02,14AUG22_F02_P2_0102_S01,8.754,3.648,3.648,head,violate min dis,violate drop off
22_E107,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P2,451,102,14AUG22_F02_P2_0102_B03,14AUG22_F02_P2_0102_S01,9.249,5.069,N/A,N/A,violate min dis,no violate drop off
22_E107,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P2,451,102,14AUG22_F02_P2_0102_B04,14AUG22_F02_P2_0102_S03,8.634,7.69,N/A,N/A,violate min dis,no violate drop off
22_E108,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P2,451,156,14AUG22_F02_P2_0156_B01,14AUG22_F02_P2_0156_S03,9.698,9.401,N/A,N/A,violate min dis,no violate drop off
22_E108,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P2,451,156,14AUG22_F02_P2_0156_B02,14AUG22_F02_P2_0156_S04,10.598,7.529,N/A,N/A,violate min dis,no violate drop off
22_E109,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P2,451,308,14AUG22_F02_P2_0308_B01,14AUG22_F02_P2_0308_S03,10.814,1.264,N/A,N/A,violate min dis,no violate drop off
22_E109,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P2,451,308,14AUG22_F02_P2_0308_B02,14AUG22_F02_P2_0308_S02,11.301,10.47,N/A,N/A,violate min dis,no violate drop off
22_E109,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P2,451,308,14AUG22_F02_P2_0308_B03,14AUG22_F02_P2_0308_S02,10.483,8.276,N/A,N/A,violate min dis,no violate drop off
22_E110,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P2,451,337,14AUG22_F02_P2_0337_B01,14AUG22_F02_P2_0337_S01,9.569,7.419,N/A,N/A,violate min dis,no violate drop off
22_E110,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P2,451,337,14AUG22_F02_P2_0337_B02,14AUG22_F02_P2_0337_S02,10.248,6.381,N/A,N/A,violate min dis,no violate drop off
22_E112,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P3,451,108,14AUG22_F02_P3_0108_B01,14AUG22_F02_P3_0108_S02,8.569,2.039,N/A,N/A,violate min dis,no violate drop off
22_E112,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P3,451,108,14AUG22_F02_P3_0108_B02,14AUG22_F02_P3_0108_S03,8.699,3.251,N/A,N/A,violate min dis,no violate drop off
22_E113,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P3,451,138,14AUG22_F02_P3_0138_B01,14AUG22_F02_P3_0138_S01,9.685,6.907,6.907,head,violate min dis,violate drop off
22_E113,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P3,451,138,14AUG22_F02_P3_0138_B02,14AUG22_F02_P3_0138_S02,8.887,3.445,3.445,side,violate min dis,violate drop off
22_E113,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P3,451,138,14AUG22_F02_P3_0138_B03,14AUG22_F02_P3_0138_S02,9.534,5.678,N/A,N/A,violate min dis,no violate drop off
22_E113,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P3,451,138,14AUG22_F02_P3_0138_B04,14AUG22_F02_P3_0138_S04,9.878,2.436,N/A,N/A,violate min dis,no violate drop off
22_E114,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P3,451,239,14AUG22_F02_P3_0239_B01,14AUG22_F02_P3_0239_S03,9.957,3.996,N/A,N/A,violate min dis,no violate drop off
22_E115,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P3,451,336,14AUG22_F02_P3_0336_B01,14AUG22_F02_P3_0336_S01,10.247,4.976,N/A,N/A,violate min dis,no violate drop off
22_E115,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P3,451,336,14AUG22_F02_P3_0336_B02,14AUG22_F02_P3_0336_S01,10.216,2.175,N/A,N/A,violate min dis,no violate drop off
22_E116,2022,14-Aug-22,14AUG22_F02,14AUG22_F02_P3,451,412,14AUG22_F02_P3_0412_B01,14AUG22_F02_P3_0412_S01,9.631,6.195,N/A,N/A,violate min dis,no violate drop off
