"","FLIGHT","YEAR","WEEKDAYS","DATE","V_LENGTH_SECOND","AVE_FOOTAGE_AREA","SUM_WS_FLIGHT","SUM_BOAT_FLIGHT","SUM_SWIM_FLIGHT","SUM_SWIM_VIOLATIONS","SUM_TOUCH_VIOLATIONS","POLICE_PRESENCE","FRE_SWIM_VIOLATION","RATE_SWIM_VIOLATION","RATE_SUM_BOAT","RATE_SUM_WS","RATE_SUM_SWIM","PERCENTAGE_SWIM_VIO","PERCENTAGE_TOUCH","AVE_FOOTAGE_AREA_km","FRE_SWIM_VIOLATION_min","FRE_SWIM_VIOLATION_min_count","FRE_TOUCH_min","SUM_SWIM_FLIGHT_min","SUM_BOAT_FLIGHT_min","SUM_WS_FLIGHT_min","SUM_WS_FLIGHT_min_log","digits","SUM_WS_FLIGHT_min_area","SUM_WS_FLIGHT_min_area_log","RATIO_WS_SWIM_min","RATIO_WS_SWIM_min_log","FRE_SWIM_VIOLATION_min_log","SUM_SWIM_FLIGHT_min_log","SUM_BOAT_FLIGHT_min_log","DAY_YR"
"31","26AUG16112101902","2016","Friday","2016-08-26",358,37433.168,134,78,69,15,0,"no",0.0418994413407821,0.00040071414741066,0.00208371356653543,0.0035797130502019,0.00184328507808904,0.217391304347826,0,0.037433168,2.51,3,0,11.56,13.07,22.46,3.1117359493103,2,0.000600002650056228,-7.4185764859975,0.51,-0.673344553263766,0.920282753143692,2.44755086324423,2.57031952763613,"2016_Friday"
"32","27AUG16082602101","2016","Saturday","2016-08-27",561,38643.205,328,47,96,17,0,"no",0.0303030303030303,0.000439922102734491,0.00121625522520712,0.00848790880570077,0.00248426599191242,0.177083333333333,0,0.038643205,1.82,2,0,10.27,5.03,35.08,3.55763116750398,2,0.000907792197877997,-7.00449506251729,0.29,-1.23787435600162,0.598836501088704,2.32922702394047,1.61541998411165,"2016_Saturday"
"33","27AUG16082602102","2016","Saturday","2016-08-27",330,39088.222,84,14,33,7,0,"no",0.0212121212121212,0.000179082077460571,0.000358164154921142,0.00214898492952685,0.000844244079456978,0.212121212121212,0,0.039088222,1.27,1,0,6,2.55,15.27,2.72589011923054,2,0.000390654760403274,-7.84768635374328,0.39,-0.941608539858445,0.2390169004705,1.79175946922805,0.936093359170335,"2016_Saturday"
"34","27AUG16090302201","2016","Saturday","2016-08-27",561,38240.743,267,82,157,19,0,"no",0.0338680926916221,0.000496852270888147,0.00214430980067516,0.00698208191195448,0.00410556876470732,0.121019108280255,0,0.038240743,2.03,2,0,16.79,8.77,28.56,3.35200713747138,2,0.000746847413503446,-7.19964965942151,0.59,-0.527632742082372,0.708035793053696,2.82078347108945,2.17133680638409,"2016_Saturday"
"35","27AUG16090302202","2016","Saturday","2016-08-27",351,38345.511,119,33,55,9,0,"no",0.0256410256410256,0.000234708047051453,0.000860596172521994,0.0031033619554581,0.00143432695420332,0.163636363636364,0,0.038345511,1.54,2,0,9.4,5.64,20.34,3.01258939062041,2,0.000530440186336283,-7.54180335586868,0.46,-0.776528789498996,0.431782416425538,2.24070968927596,1.72988406550997,"2016_Saturday"
"36","27AUG16093302301","2016","Saturday","2016-08-27",562,38391.219,248,91,144,25,0,"no",0.0444839857651246,0.00065119057563658,0.00237033369531715,0.00645981051031487,0.0037508577156667,0.173611111111111,0,0.038391219,2.67,3,0,15.37,9.72,26.48,3.27638973106881,2,0.000689741057714265,-7.27919430948261,0.58,-0.544727175441672,0.982078472412158,2.7324175575505,2.27418561847235,"2016_Saturday"
"37","27AUG16093302302","2016","Saturday","2016-08-27",368,38720.026,49,36,36,7,0,"no",0.0190217391304348,0.000180785002572054,0.000929751441799135,0.00126549501800438,0.000929751441799135,0.194444444444444,0,0.038720026,1.14,1,0,5.87,5.87,7.99,2.07819075977818,2,0.00020635316722153,-8.48592145309971,0.73,-0.3147107448397,0.131028262406404,1.76985463384001,1.76985463384001,"2016_Saturday"
"38","27AUG16100602401","2016","Saturday","2016-08-27",561,38579.503,125,59,93,13,0,"no",0.0231729055258467,0.000336966497468876,0.00152930948851259,0.00324006247566227,0.00241060648189273,0.139784946236559,0,0.038579503,1.39,1,0,9.95,6.31,13.37,2.59301339111385,2,0.000346557082396836,-7.96746301294044,0.74,-0.301105092783922,0.3293037471426,2.2975725511705,1.84213567655312,"2016_Saturday"
"39","27AUG16100602402","2016","Saturday","2016-08-27",360,37908.769,25,20,24,4,0,"no",0.0111111111111111,0.000105516483534456,0.00052758241767228,0.000659478022090351,0.000633098901206737,0.166666666666667,0,0.037908769,0.67,1,0,4,3.33,4.17,1.42791603581071,2,0.00011000093408467,-9.11502170052909,0.96,-0.0408219945202552,-0.400477566597125,1.38629436111989,1.20297230399235,"2016_Saturday"
"40","27AUG16104902501","2016","Saturday","2016-08-27",560,38647.68,100,78,102,17,0,"no",0.0303571428571429,0.000439871164323447,0.00201823240101346,0.00258747743719675,0.00263922698594068,0.166666666666667,0,0.03864768,1.82,2,0,10.93,8.36,10.71,2.37117788445966,2,0.000277118833523772,-8.19106414188106,1.02,0.0198026272961797,0.598836501088704,2.39151130218845,2.12345842709661,"2016_Saturday"
"41","27AUG16104902502","2016","Saturday","2016-08-27",368,38830.731,27,12,13,3,0,"no",0.00815217391304348,7.72583961914083e-05,0.000309033584765633,0.000695325565722675,0.000334786383496103,0.230769230769231,0,0.038830731,0.49,0,0,2.12,1.96,4.4,1.48160454092422,2,0.000113312314414066,-9.08536270727457,0.48,-0.7339691750802,-0.713349887877465,0.751416088683921,0.672944473242426,"2016_Saturday"
