"","FLIGHT","YEAR","WEEKDAYS","DATE","V_LENGTH_SECOND","AVE_FOOTAGE_AREA","SUM_WS_FLIGHT","SUM_BOAT_FLIGHT","SUM_SWIM_FLIGHT","SUM_BOAT_VIOLATIONS","POLICE_PRESENCE","FRE_BOAT_VIOLATION","RATE_BOAT_VIOLATION","RATE_SUM_BOAT","RATE_SUM_WS","AVE_FOOTAGE_AREA_km","FRE_BOAT_VIOLATION_min","FRE_BOAT_VIOLATION_min_count","SUM_SWIM_FLIGHT_min","SUM_BOAT_FLIGHT_min","SUM_WS_FLIGHT_min","SUM_WS_FLIGHT_min_log","digits","SUM_WS_FLIGHT_min_area","SUM_WS_FLIGHT_min_area_log","RATIO_WS_SWIM_min","RATIO_WS_SWIM_min_log","FRE_BOAT_VIOLATION_min_log","SUM_SWIM_FLIGHT_min_log","SUM_BOAT_FLIGHT_min_log","DAY_YR"
"51","28AUG16110103401","2016","Sunday","2016-08-28",561,35266.394,3,2,6,1,"no",0.0017825311942959,2.83556067569596e-05,5.67112135139192e-05,8.50668202708788e-05,0.035266394,0.11,0,0.64,0.21,0.32,-1.13943428318836,2,9.07379416222708e-06,-11.6101200613277,2,0.693147180559945,-2.20727491318972,-0.44628710262842,-1.56064774826467,"2016_Sunday"
"52","28AUG16110103402","2016","Sunday","2016-08-28",406,29481.514,3,3,6,1,"no",0.00246305418719212,3.39195605761631e-05,0.000101758681728489,0.000101758681728489,0.029481514,0.15,0,0.89,0.44,0.44,-0.82098055206983,2,1.49246066535118e-05,-11.1124992539065,2.02,0.703097511413113,-1.89711998488588,-0.116533816255952,-0.82098055206983,"2016_Sunday"
"53","28AUG16115603503","2016","Sunday","2016-08-28",560,39470.718,2,2,6,1,"no",0.00178571428571429,2.53352371243918e-05,5.06704742487836e-05,5.06704742487836e-05,0.039470718,0.11,0,0.64,0.21,0.21,-1.56064774826467,2,5.32039979612228e-06,-12.1439621077873,3.05,1.11514159061932,-2.20727491318972,-0.44628710262842,-1.56064774826467,"2016_Sunday"
"54","13AUG22_F01","2022","Saturday","2022-08-13",582,27259.763,5,89,6,5,"yes",0.00859106529209622,0.000183420523501983,0.00326488531833531,0.000183420523501983,0.027259763,0.52,1,0.62,9.18,0.52,-0.653926467406664,2,1.90757344442063e-05,-10.8670934785622,1.19,0.173953307123438,-0.653926467406664,-0.478035800943,2.2170272046324,"2022_Saturday"
"55","13AUG22_F02","2022","Saturday","2022-08-13",873,27400.292,5,48,32,6,"yes",0.00687285223367698,0.000218975768579401,0.0017518061486352,0.0001824798071495,0.027400292,0.41,0,2.2,3.3,0.34,-1.07880966137193,2,1.2408626886166e-05,-11.2971186106256,6.47,1.86717610851281,-0.891598119283784,0.78845736036427,1.19392246847243,"2022_Saturday"
"56","13AUG22_F03","2022","Saturday","2022-08-13",582,22949.987,9,62,38,6,"no",0.0103092783505155,0.000261438056588006,0.00270152658474273,0.000392157084882009,0.022949987,0.62,1,3.92,6.39,0.93,-0.0725706928348354,2,4.05228987711409e-05,-10.1136433418746,4.22,1.43983512804792,-0.478035800943,1.36609165380237,1.85473426838944,"2022_Saturday"
"57","13AUG22_F04","2022","Saturday","2022-08-13",873,23317.153,3,30,8,4,"no",0.00458190148911798,0.000171547529837798,0.00128660647378348,0.000128660647378348,0.023317153,0.27,0,0.55,2.06,0.21,-1.56064774826467,2,9.00624531648439e-06,-11.6175922972282,2.62,0.963174317773006,-1.30933331998376,-0.59783700075562,0.72270598280149,"2022_Saturday"
"58","13AUG22_F05","2022","Saturday","2022-08-13",873,26061.935,9,48,28,6,"no",0.00687285223367698,0.000230220818216299,0.00184176654573039,0.000345331227324448,0.026061935,0.41,0,1.92,3.3,0.62,-0.478035800943,2,2.37894845490176e-05,-10.6462669005921,3.1,1.1314021114911,-0.891598119283784,0.65232518603969,1.19392246847243,"2022_Saturday"
"59","13AUG22_F06","2022","Saturday","2022-08-13",582,33247.83,6,4,7,2,"no",0.00343642611683849,6.0154301799546e-05,0.000120308603599092,0.000180462905398638,0.03324783,0.21,0,0.72,0.41,0.62,-0.478035800943,2,1.86478335578593e-05,-10.8897805817394,1.16,0.148420005118273,-1.56064774826467,-0.328504066972036,-0.891598119283784,"2022_Saturday"
"60","13AUG22_F07","2022","Saturday","2022-08-13",582,21748.03,3,2,0,2,"no",0.00343642611683849,9.19623524521531e-05,9.19623524521531e-05,0.00013794352867823,0.02174803,0.21,0,0,0.21,0.31,-1.17118298150295,2,1.42541646300837e-05,-11.158461439205,0,-Inf,-1.56064774826467,-Inf,-1.56064774826467,"2022_Saturday"
"61","13AUG22_F08","2022","Saturday","2022-08-13",291,23098.56,1,1,3,1,"no",0.00343642611683849,4.32927420583794e-05,4.32927420583794e-05,4.32927420583794e-05,0.02309856,0.21,0,0.62,0.21,0.21,-1.56064774826467,2,9.09147583225967e-06,-11.6081733051691,2.95,1.08180517035173,-1.56064774826467,-0.478035800943,-1.56064774826467,"2022_Saturday"
"62","14AUG22_F01","2022","Sunday","2022-08-14",940,23719.225,75,383,617,34,"no",0.0361702127659574,0.00143343637913971,0.0161472392120738,0.00316199201280818,0.023719225,2.17,2,39.38,24.45,4.79,1.56653041142282,2,0.000201945889884682,-8.50751076830515,8.22,2.10657020906809,0.774727167552368,3.67325807321098,3.19663021592088,"2022_Sunday"
"63","14AUG22_F02","2022","Sunday","2022-08-14",1164,23239.061,56,345,490,39,"no",0.0335051546391753,0.00167820894312382,0.0148456944968646,0.00240973591833164,0.023239061,2.01,2,25.26,17.78,2.89,1.06125650212434,2,0.000124359585785329,-8.99233330355018,8.74,2.16791018966744,0.698134722070984,3.22922211692235,2.87807423008576,"2022_Sunday"
"64","14AUG22_F03","2022","Sunday","2022-08-14",902,22342.181,46,139,268,21,"no",0.0232815964523282,0.000939926142394066,0.00622141589489406,0.00205888583572034,0.022342181,1.4,1,17.83,9.25,3.06,1.11841491596429,2,0.000136960666463135,-8.8958167794675,5.83,1.7630170003624,0.336472236621213,2.88088243187505,2.22462355152433,"2022_Sunday"
